TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12
62.0,62,91.84700000000001,86.81200000000001,39.17,34.562,42.512,35.833,40.614000000000004,33.613,35.865,35.623000000000005,40.815,38.463
63.0,63,92.416,88.103,40.298,34.731,43.78,36.0,38.473,31.256999999999998,36.118,35.356,40.67,38.205999999999996
64.0,64,91.904,88.05,41.803999999999995,35.293,45.532,36.583,36.646,29.655,36.442,35.155,40.643,37.89
65.0,65,91.72200000000001,88.05,43.428000000000004,36.141,47.32,37.486999999999995,35.446,27.918000000000003,37.171,35.023,40.759,38.07
66.0,66,91.61399999999999,87.954,44.977,37.251999999999995,49.049,38.639,34.056999999999995,26.859,37.747,34.917,40.91,38.31
67.0,67,91.117,87.814,46.73,38.658,50.973,40.137,32.82,26.31,38.475,35.167,41.225,38.689
68.0,68,90.86200000000001,88.01899999999999,48.178000000000004,40.225,52.67100000000001,41.79,32.094,26.026,39.454,35.442,41.77,39.163000000000004
69.0,69,90.264,87.77600000000001,49.613,41.806999999999995,54.288000000000004,43.474,31.959,26.660999999999998,40.222,35.648,42.145,39.777
70.0,70,89.459,86.693,50.479,43.406000000000006,55.268,45.188,32.662,27.730999999999998,41.031000000000006,35.863,42.707,40.599000000000004
71.0,71,89.072,86.794,50.861999999999995,44.867,55.718,46.769,34.109,29.529,41.461000000000006,36.13,43.0,41.115
72.0,72,37.753,36.563,47.692,43.273999999999994,52.018,45.027,33.082,28.964000000000002,41.053999999999995,35.268,42.236999999999995,40.467
73.0,73,78.611,76.888,49.685,46.513000000000005,54.239,48.474,36.135999999999996,32.616,42.46,36.282,45.739,43.818000000000005
74.0,74,83.766,81.362,53.928000000000004,51.098,58.998999999999995,53.31399999999999,39.203,35.748000000000005,46.716,40.347,49.082,47.28
75.0,75,88.458,84.406,57.379,55.198,62.828,57.655,42.50899999999999,39.396,50.056999999999995,43.699,51.257,49.371
76.0,76,91.266,87.34700000000001,57.02,55.763999999999996,62.328,58.192,44.49100000000001,42.236000000000004,50.629,44.691,50.673,49.23
77.0,77,92.569,88.361,53.7,53.563,58.699,55.867,45.42100000000001,43.818999999999996,49.516000000000005,44.278,49.214,47.931000000000004
78.0,78,91.756,87.685,50.059,50.755,54.6,52.898999999999994,45.47,43.74,47.692,43.54600000000001,47.622,46.536
79.0,79,90.665,86.695,46.618,47.732,50.729,49.728,45.11,43.463,46.037,42.841,46.045,45.123000000000005
80.0,80,90.051,85.749,43.336000000000006,44.766000000000005,47.076,46.54600000000001,44.6,42.468999999999994,44.001999999999995,41.993,44.76,44.006
81.0,81,90.206,85.634,40.486,42.012,43.839,43.665,43.754,41.464,41.883,40.99100000000001,43.662,42.878
82.0,82,90.38,86.71,37.968,39.29,41.013000000000005,40.791,42.748999999999995,40.156,39.652,39.715,42.653,41.61600000000001
83.0,83,90.83,88.06,35.711999999999996,36.824,38.473,38.165,41.56100000000001,38.472,37.459,38.414,41.46,40.176
